"Reference","Value","Qty"
"C1","2n2","1"
"C2","1u","1"
"C3","220p","1"
"C4","4n7","1"
"C5","1n","1"
"C6","22p","1"
"C7","47n","1"
"C8","10n","1"
"C9,C13,C14,C15,C16","100n","5"
"C10","470n","1"
"C11,C12","10u","2"
"D1","3.9V Zener","1"
"D2,D3","1N5819","2"
"D4,D5","3mm LED","2"
"J1,J2,J3,J4","WQP-PJ301M-12","4"
"J5","IDC 10P Header","1"
"Q1,Q2","BC547","2"
"R1","150k","1"
"R2","470k","1"
"R3,R4,R5,R9,R14,R16,R17,R21","100k","8"
"R6,R8,R10,R19,R24","47k","5"
"R7","22k","1"
"R11","470","1"
"R12,R18,R25,R26","10k","4"
"R13","4M7","1"
"R15,R20","1k","2"
"R22,R23","10","2"
"RV1,RV2,RV5,RV6","B100k","4"
"RV3","B30k","1"
"RV4","B50k","1"
"SW1","4P3T SS-43D01","1"
"SW2","SPDT 2MS1T1B1M1","1"
"U1","TL074","1"
"U2,U3","VTL5C","2"
"U4","TLC555","1"
